Ouery_Cleaned,Answer
blight,•FOR CONTROL OF BLIGHT ON ... SPRAY OF M 45 30 GM / BLUE COPPER 30 GM / FOLICUR 8 ML/ SCORE 8 ML/ KAVACH 15 GM/ HEDLINE 25 GM PER PUMP
red leaves,spraying of urea + magneshiam salphet
sucking pest,YOU CAN SPRAY DIMITHOET 2 MILI /LITER WATER USE FOR SUCKING PEST CONTROL ON COTTON CROP
catterpiller sucking pest,fighter 15 mili + excite 15 mili /pamp spray  on crop.
alternia leaf spot,YOU CAN SPRAY ANTRACOL 25 GRAM /PAMP WATER USE FOR ALTERNIA LEAF SPOT CONTROL ON COTTON CROP
yellowing leaves,SPRAYING OF 19:19:19 + BAVISTIN
reddning leaves,SPRAY 200 GM UREA WITH 50 GM MAGNESIUM SULPHATE & 5 GM ACTRA WITH 30 ML REEGENT IN 15 LTR OF WATER TO CONTROL REDDNING OF LEAVES IN COTTON CROP
mili bug,spraying of nuvan 30 ml / 15 liter water
reddening,spray urea 200gm + magnesium sulphate 60gm+ super Confidor 10 ml/15 lit of water
wilt,drenching of bavistin 25 gm / 15 liter water
thrips,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
leaf minor,spraying of abasin
caterpillar,spraying of curakron 30 ml / 15 liter water
fungal,Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.
ofsucking pest,Spray Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer
controll jassids cottan,Spray super confidor 10 ml /15 liter water(Imida 17.8 sl)-Bayer
flower drop,Spray Plano fix 5ml/15 Lit of Water
aphids jassids,CONTROL OF APHIDS & JASSIDS- SPRAY CONFIDOR SUPER 10 ML IN 15 LITER OF WATER
white fly,spraying of astaf 15 gm / 15 liter water
thrips cottan,Control thrips in cottan - Spray Actra 5 gms in 15 liter of water
cracking fruits,SPRAY CALCIUM NITRATE 20 GM WITH BORON 20 GM IN 10 LTR OF WATER TO CONTROL CRACKING OF FRUITS
sucking pest chilli,recommended for to control sucking pest in  crop spray imedachlorprid 5-7 ml at 15 liter of water.
flower drop problem soyabean,recomendeed for Spray Plano fix 4 to 5 Ml at 15 liter of water.
redinin sucking pest,actara 5 gm + ridomil gold 30 ml 15 liter water
mealy bug,you can spray trayzophos 40 mili +asefet 30 gram /pamp water use for  mealy bug control on cotton crop
white fly cottan,control of white fly in cottan -spray pride(dow Agro) 7 gms in 15  liter of water
white fly cotan,recommended for spray imedaclorpid @5-7 ml/pump
wite fly problem cotan,Spray trijofos to 2 Ml at  liter of water
preventive measures controlling pest,spray neem ark 30 ml / 15 litter of water for controlling sucking pest on cotton
wants fruit drop problem cotan,Recommended for Spray 150ml at 15 liter of water for control of fruit drop problem in cotan plant.
sucking pest whitefly,YOU CAN SPRAY TRAYZOPHOS 40 MILI +ASEFET 30 GRAM /PAMP WATER USE FOR  SUCKING PEST CONTROL ON WHITEFLY
protection,spraying of kavach 25 gram / 15 liter water
wants stem cutter,Recommended for to control stem cutter in cotton crop spray cartap hydrochloride 50% sp @300-400gm/acer.
chikta,spraying of actra 5 gm + m -45 25 gm / 15 liter water
enquired blight,to control  blight attack on cotton Spray M-45 30 gm/15 Lit of Water.
enquired yellowing,to control yellowing in cotton spray 19:19:19 40gm + microlla 30ml+ bavistin 30gm/15 lit of water.
aphids,FOR CONTROL APHIDS SPRAY CONFIDOR 10 ML + CONTAF 10 ML + VIROSOL 30 GM PER PUMP ON COTTON CROP
mava,spraying of admayr 5 gm / 15 liter water
black spot,spraying of kavach 25 gm / 15 liter water
bollworm,you can spray profex super 40 mili /pamp water use for bollworm control
enquired sucking pest,Spray Metador 25 ml / 15 lit of water
preventive measures pest,spray nim ark 30 ml / 15 liter of water for controlling sucking pest on cotton
tobacco cutworm,Chlorpyriphos 20 EC 2 litre per hectare dissolve in 500 litre of water to control Tobacco Cutworm  in cotton.
snail sluge,application of snail kill
r controlling whitefly,spray actra 5gm + M-45 30gm / 15 liter of wate
herbicide application,spraying of targa super
pest,Spray Actra 5 gm/15 Lit of Water.+ Spray Bavistine 30gm/15lit of Water.
pink bollworm,YOU CAN SPRAY TRAYZOPHOS 40 MILI +ASEFET 30 GRAM /PAMP WATER USE FOR PINK BOLLWORM CONTROL IN COTTON CROP
reddning,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 70 GM/15 LITER WATER.
fruit borer,SPRAY ACEPHATE 20 GM WITH TRIJOPHOS 30 ML IN 15 LTR OF WATER TO CONTROL ATTACK OF FRUIT BORER
wants fungal,Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water
wants white fly,Recommended for spray imedachlorprid @5-7 ml/pump
biological,biological control for cotton = for control of sucking pest in cotton spray Bio power -303 (2 ml /liter )
sucking pets,you can spray karate 15 mili +actra 5 gram /pamp water use for sucking pest control on cotton crop
tell pest,SPRAY OF PROFENOFOS + CYPERMETHRIN 1.5 ML PER LITER WATER
powdary mildew,spraying of contaf 1 ml / liter water
dahiya diseases,control of dahiya diseases - spraying of carbendizam 10 gram / 10 liter water
sucking pest controlon,YOU CAN SPRAY TRAYZOPHOS 40 MILI +ASEFET 30 GRAM /PAMP WATER USE FOR  SUCKING PEST CONTROL ON COTTON CROP.
informatio white fly,recomended dose of Imidachloprid 17.8% SL 5-7 ml /pump
red mites,spraying of oberon
preventive measures pest controlling,spray M 45 40 gm / 15 litter of water for controlling blight on cotton
red ning leaves,spraying of urea 40 gram + magneshiam salphet 60 gram / 15 liter water
dropping flower,SPRAY PLANOFIX 5 ML WITH BORAX 30 GM IN 15 LTR OF WATER TO CONTROL DROPPING OF FLOWER IN COTTON CROP
semi looper,Spray acephate 75 SP @ 1 g/l or Profenophos 50 EC @ 2 ml/l
fruit borer tomato,you can spray proclem 10 gram /pamp water use for bollworm control on cotton crop
dropping balls,SPRAY PLANO FIX 5 ML + 00:52:34 60 GM/15 LITER WATER.
caterpillara,spraying of curacron 30 ml / 15 liter water
funggal,RECOMMENDED  FOR SPRAY TO MENCOZEB + CARBENDAZIM 35-40 GRAM/PUMP
yellowing thrips,SPRAY MICROLA 30 ML /15 LITER WATER +Spray super confidor 10 ml /15 liter water(Imida 17.8 sl)-Bayer
suckin pest,you can spray karate 15 mili +actra 5 gram /pamp water use for sucking pest control on cotton crop
redning leaves,spraying of urea 40 gram + magneshiam salphet 60 gram / 15 liter water
balls dropping,SPRAY PLANO FIX 5 ML + 00:52:34 60 GM/15 LITER WATER.
virus,control of attack of Virus on cotton -Spray Kasu-B 3 gm/15 Liter of Water(Kasugamycin+streptocycline)-Dhanuka
shoot borer,Spray Quinalphos (20 % AF) 22 ml/15 liter of water
white fly management,RECOMMENDED TO SPRAY FLUNICAMIDE 75 GRAMS PER ACRE
thrips controll managemnt,RECOMMENDED SPRAY FIPRONIL 2ML/LITRE OF WATER
root rot,RECOMMENDED TO USE SOIL DRENCH COPPER OXY CHLORIDE (BLITOX) 600 GRAMS PER ACRE IN 200 LITER WATER
sucking pest measurs,RECOMMENDED TO SPRAY FLUNICAMIDE (ULALA)75 GRAMS PER ACRE
sucking pest measures,"RECOMMENDED TO SPRAYTHIOMETHOXOME (ACTRA, SITARA,RENOVA,) 40 GRAMS PER ACRE"
milly bug measures,"RECOMMENDED TO SPRAY PROPINOPHOS (CURECRON, PROFEX,DON, BOLERO)  400 ML PER ACRE"
root rot measures,RECOMMENDED FOR SOIL DRENCH WITH COC 600 GRAMS/ACRE IN 200 LITER OF WATER
milli bug,"PROPINOPHOS (CURECRON, PROFEX,DON, BOLERO)  400 ML PER ACRE    ???????????? (???????????, ??????????,????, ??????) ???????  400 ?????? ??????  ???????? ??????"
leaf spots measur,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE (BLITOX) 600 GRAMS PER ACRE
mights thrips measurs,"CHLORPYRPHOS(KORBAN, DURSBAN, LETHAL, CLASSIC, RADAR) 500 ML PER ACRE  and for mights RECOMMENDED TO SPRAY DICOFAL(KELTHANE, MITE, HILLFOL) 1000 ML PER ACRE"
sucking pest chilli seed treatment,"RECOMMENDED TO SPRAY ACEPHATE (ANTAF, ARTIN, LUCID )  300 GRAMS PER ACRE and 3 GRAMS OF CARBENDAZIM  (BAVISTIN, DEROSAL, CARBENDAZIM) PER KG OF SEED"
flower drop measures,flano fix 5ml/20 lit of water
sucking pest millibug,"RECOMMENDED TO SPRAY CHLOFENPYRPHOS  (INTRAPRID, LEPIDO) 300 ML PER ACRE"
rice b p h measures,"RECOMMENDED TO SPRAY BUPROFEZIN(JAVA, APPLAUD) 300ML PER ACRE"
suking pest aphids thrips mesures,"RECOMMENDED TO SPRAY CHLOFENPYRPHOS  (INTRAPRID, LEPIDO) 300 ML PER ACRE"
chilli sucking pest measures,RECOMMENDED TO SPRAY FLUNICAMIDE (ULALA)75 GRAMS PER ACRE
sucking pest controlmeasurs,RECOMMENDED TO SPRAY FLUNICAMIDE (ULALA)75 GRAMS PER ACRE
bitter gourd beetle measures,"RECOMMENDED TO SPRAY MALATHION( CYTHION,CHEMITHION,MORE ) 400 ML PER ACRE"
controlling boll warm,fem 20-40 ml/acre /150 lit water
sucking pest controll management,RECOMMENDED FOR SPRAY ACEPHATE 300 GR/ACRE IN  200 LT WATER
tobacco catterpiller controll management,RECOMMENDED TO SPRAY NOVALURAN+INDOXICARB  350 ML PER ACRE
root rot measurs,Recomended copper oxi chloride (blitax)600 grams/200litre water
weed,QUIZALOPOP ETHYL(TARGA SUPER) 400 ML PER ACRE
chilli cercospora measurs,"RECOMMENDED TO SPRAY CHLOROTHALANIL(KAVACH, DACONIL, BRAVO)  400 GRAMS PER ACRE"
flower drop measurs,recommended to spray planofix 4.5 ml/20 litre
cotoon chilli sucking pest measurs,"THIOMETHOXOME (ACTRA, SITARA,RENOVA,) 40 GRAMS PER ACRE"
sucking pest might measures,"DICOFAL(KELTHANE, MITE, HILLFOL) 1000 ML PER ACRE    THIOMETHOXOME (ACTRA, SITARA,RENOVA,) 40 GRAMS PER ACRE"
cyclone effect measurs,recommended to spray of magnesium sulphate 10 grams per litre
rice hispa measurs,"RECOMMENDED TO SPRAY PROPINOPHOS (CURECRON, PROFEX,DON, BOLERO)  400 ML PER ACRE"
leaf curling sucking pest measures,RECOMMENDED TO SPRAY FLUNICAMIDE (ULALA)75 GRAMS PER ACRE
brinjal fruit borer measurs,RECOMMENDED TO SPRAY FLUBENDAMIDE(FAME) 40-50 ML PER ACRE
sucking pest boll worm,RECOMMENDED TO SPRAY   THIACLOPRID 250ML / 200 LITERS OF WATER /ACRE
larvae,Suggested: Quinalphos 25 EC 30 ml/pump spray
trips,suggest:thayomithoczem 5 Gm/pump sprey
