SampleNo,SampleCollectionDate,LandArea,Irrigation,Longitude,Latitude,pH,EC,Organic Carbon (OC),Available Nitrogen (N),Available Phosphorus (P),Available Potassium (K),Available Sulphur (S),Available Zinc (Zn),Available Boron (B),Available Iron (Fe),Available Manganese (Mn),Available Copper (Cu)
PB/2017-18/95349546/2,07-11-2017,3.00  Acre,Irrigated(Tube well),31.862822,74.630238,8.26 : Moderately alkaline,0.13 dS/m: ,0.46 %: Low,-- kg/ha: ,29.16 kg/ha: Medium,144.19 kg/ha: Low,8.46 ppm: Deficient,1.04 ppm: Sufficient,-- ppm: ,23.72 ppm: Sufficient,2.06 ppm: ,1.76 ppm: Sufficient
PB/2017-18/95349546/1,07-11-2017,3.00  Acre,Irrigated(Tube well),31.862822,74.630238,8.26 : Moderately alkaline,0.13 dS/m: ,0.46 %: Low,-- kg/ha: ,29.16 kg/ha: Medium,144.19 kg/ha: Low,8.46 ppm: Deficient,1.04 ppm: Sufficient,-- ppm: ,23.72 ppm: Sufficient,2.06 ppm: ,1.76 ppm: Sufficient
PB/2017-18/95349583/2,07-11-2017,3.00  Acre,Irrigated(Well),31.861021,74.630262,7.77 : Moderately alkaline,0.13 dS/m: ,0.39 %: Low,-- kg/ha: ,25.24 kg/ha: Medium,235.65 kg/ha: Medium,21.14 ppm: Sufficient,0.76 ppm: Sufficient,-- ppm: ,9.97 ppm: Sufficient,2.19 ppm: Sufficient,1.58 ppm: Sufficient
PB/2017-18/95349583/1,07-11-2017,3.00  Acre,Irrigated(Tube well),31.861021,74.630262,7.77 : Moderately alkaline,0.13 dS/m: ,0.39 %: Low,-- kg/ha: ,25.24 kg/ha: Medium,235.65 kg/ha: Medium,21.14 ppm: Sufficient,0.76 ppm: Sufficient,-- ppm: ,9.97 ppm: Sufficient,2.19 ppm: Sufficient,1.58 ppm: Sufficient
PB/2017-18/95349622/1,07-11-2017,5.00  Acre,Irrigated(Tube well),31.857921,74.630546,8.24 : Moderately alkaline,0.12 dS/m: ,0.43 %: Low,-- kg/ha: ,39.98 kg/ha: Medium,182.16 kg/ha: Medium,16.82 ppm: Sufficient,0.82 ppm: Sufficient,-- ppm: ,24.83 ppm: Sufficient,2.63 ppm: Sufficient,1.70 ppm: Sufficient
PB/2017-18/95349656/2,07-11-2017,3.00  Acre,Irrigated(Tube well),31.856320,74.630910,8.51 : ,0.20 dS/m: ,0.46 %: Low,-- kg/ha: ,27.87 kg/ha: Medium,147.82 kg/ha: Medium,32.47 ppm: Sufficient,1.16 ppm: Sufficient,-- ppm: ,17.95 ppm: Sufficient,5.54 ppm: Sufficient,1.73 ppm: Sufficient
PB/2017-18/95349656/1,07-11-2017,3.00  Acre,Irrigated(Tube well),31.856320,74.630910,8.51 : ,0.20 dS/m: ,0.46 %: Low,-- kg/ha: ,27.87 kg/ha: Medium,147.82 kg/ha: Medium,32.47 ppm: Sufficient,1.16 ppm: Sufficient,-- ppm: ,17.95 ppm: Sufficient,5.54 ppm: Sufficient,1.73 ppm: Sufficient
PB/2017-18/95349708/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.855100,74.630480,7.89 : Moderately alkaline,0.22 dS/m: ,0.40 %: Low,-- kg/ha: ,42.45 kg/ha: Medium,217.95 kg/ha: Medium,40.77 ppm: Sufficient,1.84 ppm: Sufficient,-- ppm: ,22.55 ppm: Sufficient,4.31 ppm: Sufficient,2.37 ppm: Sufficient
PB/2017-18/95349708/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.855100,74.630480,7.89 : Moderately alkaline,0.22 dS/m: ,0.40 %: Low,-- kg/ha: ,42.45 kg/ha: Medium,217.95 kg/ha: Medium,40.77 ppm: Sufficient,1.84 ppm: Sufficient,-- ppm: ,22.55 ppm: Sufficient,4.31 ppm: Sufficient,2.37 ppm: Sufficient
PB/2017-18/95349753/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.852946,74.630333,7.52 : Moderately alkaline,0.24 dS/m: ,0.44 %: Low,-- kg/ha: ,62.59 kg/ha: High,448.00 kg/ha: High,41.25 ppm: Sufficient,2.34 ppm: Sufficient,-- ppm: ,22.04 ppm: Sufficient,4.04 ppm: Sufficient,3.09 ppm: Sufficient
