SampleNo,Crop_Name,Fertiliser_Combination_1,Fertiliser_Combination_2
PB/2017-18/95349546/2,Buck Wheat (Kaspat),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349546/2,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349546/2,Maize,Neem Coated Urea  : 361 | Single Superphosphate (16% P2O5 Granulated): 375 | Potassium Chloride (Muriate of Potash): 67,Diammonium Phosphate (18-46-0): 130 | Neem Coated Urea  : 310 | Potassium Chloride (Muriate of Potash): 67
PB/2017-18/95349546/2,Mustard,Neem Coated Urea  : 289 | Single Superphosphate (16% P2O5 Granulated): 188 | Potassium Chloride (Muriate of Potash): 33,Diammonium Phosphate (18-46-0): 65 | Neem Coated Urea  : 264 | Potassium Chloride (Muriate of Potash): 33
PB/2017-18/95349546/2,Sugarcane,Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349546/2,Cotton,Neem Coated Urea  : 435 | Single Superphosphate (16% P2O5 Granulated): 188 | Potassium Chloride (Muriate of Potash): 67,Diammonium Phosphate (18-46-0): 65 | Neem Coated Urea  : 409 | Potassium Chloride (Muriate of Potash): 67
PB/2017-18/95349546/1,Buck Wheat (Kaspat),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349546/1,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349546/1,Maize,Neem Coated Urea  : 361 | Single Superphosphate (16% P2O5 Granulated): 375 | Potassium Chloride (Muriate of Potash): 67,Diammonium Phosphate (18-46-0): 130 | Neem Coated Urea  : 310 | Potassium Chloride (Muriate of Potash): 67
PB/2017-18/95349546/1,Mustard,Neem Coated Urea  : 289 | Single Superphosphate (16% P2O5 Granulated): 188 | Potassium Chloride (Muriate of Potash): 33,Diammonium Phosphate (18-46-0): 65 | Neem Coated Urea  : 264 | Potassium Chloride (Muriate of Potash): 33
PB/2017-18/95349546/1,Sugarcane,Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349546/1,Cotton,Neem Coated Urea  : 435 | Single Superphosphate (16% P2O5 Granulated): 188 | Potassium Chloride (Muriate of Potash): 67,Diammonium Phosphate (18-46-0): 65 | Neem Coated Urea  : 409 | Potassium Chloride (Muriate of Potash): 67
PB/2017-18/95349583/2,Buck Wheat (Kaspat),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349583/2,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349583/2,Maize,Neem Coated Urea  : 361 | Single Superphosphate (16% P2O5 Granulated): 375 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 130 | Neem Coated Urea  : 310 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95349583/2,Mustard,Neem Coated Urea  : 289 | Single Superphosphate (16% P2O5 Granulated): 188 | Potassium Chloride (Muriate of Potash): 25,Diammonium Phosphate (18-46-0): 65 | Neem Coated Urea  : 264 | Potassium Chloride (Muriate of Potash): 25
PB/2017-18/95349583/2,Sugarcane,Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349583/2,Cotton,Neem Coated Urea  : 435 | Single Superphosphate (16% P2O5 Granulated): 188 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 65 | Neem Coated Urea  : 409 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95349583/1,Buck Wheat (Kaspat),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349583/1,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349583/1,Maize,Neem Coated Urea  : 361 | Single Superphosphate (16% P2O5 Granulated): 375 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 130 | Neem Coated Urea  : 310 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95349583/1,Mustard,Neem Coated Urea  : 289 | Single Superphosphate (16% P2O5 Granulated): 188 | Potassium Chloride (Muriate of Potash): 25,Diammonium Phosphate (18-46-0): 65 | Neem Coated Urea  : 264 | Potassium Chloride (Muriate of Potash): 25
PB/2017-18/95349583/1,Sugarcane,Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349583/1,Cotton,Neem Coated Urea  : 435 | Single Superphosphate (16% P2O5 Granulated): 188 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 65 | Neem Coated Urea  : 409 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95349622/1,Buck Wheat (Kaspat),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349622/1,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349622/1,Maize,Neem Coated Urea  : 361 | Single Superphosphate (16% P2O5 Granulated): 375 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 130 | Neem Coated Urea  : 310 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95349622/1,Mustard,Neem Coated Urea  : 289 | Single Superphosphate (16% P2O5 Granulated): 188 | Potassium Chloride (Muriate of Potash): 25,Diammonium Phosphate (18-46-0): 65 | Neem Coated Urea  : 264 | Potassium Chloride (Muriate of Potash): 25
PB/2017-18/95349622/1,Sugarcane,Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349622/1,Cotton,Neem Coated Urea  : 435 | Single Superphosphate (16% P2O5 Granulated): 188 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 65 | Neem Coated Urea  : 409 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95349656/2,Buck Wheat (Kaspat),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349656/2,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349656/2,Maize,Neem Coated Urea  : 361 | Single Superphosphate (16% P2O5 Granulated): 375 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 130 | Neem Coated Urea  : 310 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95349656/2,Mustard,Neem Coated Urea  : 289 | Single Superphosphate (16% P2O5 Granulated): 188 | Potassium Chloride (Muriate of Potash): 25,Diammonium Phosphate (18-46-0): 65 | Neem Coated Urea  : 264 | Potassium Chloride (Muriate of Potash): 25
PB/2017-18/95349656/2,Sugarcane,Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349656/2,Cotton,Neem Coated Urea  : 435 | Single Superphosphate (16% P2O5 Granulated): 188 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 65 | Neem Coated Urea  : 409 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95349656/1,Buck Wheat (Kaspat),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349656/1,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349656/1,Maize,Neem Coated Urea  : 361 | Single Superphosphate (16% P2O5 Granulated): 375 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 130 | Neem Coated Urea  : 310 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95349656/1,Mustard,Neem Coated Urea  : 289 | Single Superphosphate (16% P2O5 Granulated): 188 | Potassium Chloride (Muriate of Potash): 25,Diammonium Phosphate (18-46-0): 65 | Neem Coated Urea  : 264 | Potassium Chloride (Muriate of Potash): 25
PB/2017-18/95349656/1,Sugarcane,Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349656/1,Cotton,Neem Coated Urea  : 435 | Single Superphosphate (16% P2O5 Granulated): 188 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 65 | Neem Coated Urea  : 409 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95349708/2,Buck Wheat (Kaspat),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349708/2,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95349708/2,Maize,Neem Coated Urea  : 361 | Single Superphosphate (16% P2O5 Granulated): 375 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 130 | Neem Coated Urea  : 310 | Potassium Chloride (Muriate of Potash): 50
