Ouery_Cleaned,Answer
sucking pest,Spray Actra 5 gm + regent 10 ml +  + redomilgold 30 gm /15 Lit of Water.
blight,Spray M-45 30 gm/15 Lit of Water.
white grub,Use Fertera 4 kg /acre / Regent 4 kg / acre.
thrips,Confidor 7 ml + nim oil 1.5 ml /15 Lit of Water.
white fly,Spray Actra 5 gm + /15 Lit of Water.
blight,Spray M-45 30 gm./15 Lit of Water.
shoot borer,Spray Chloropyriphos 30ml/15 Lit of Water.
nag ali,Polytrin c -35 15ml/15 Lit of Water
red mites,Spray Record 10 gm or Pride 10 gm / 15 lit of water
stem borer,Spray Nuwan 20ml/15Lit of Water.
caterpillar,spray of proclaim  5 gm /15 Lit of Water.
aphids,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
fungal,Spray Bavistane 30 gm/15 Liter of Water (Carbandazin)-Basf
weevils, spray nuvan 30 ml / 15lit  water.
sucking pest white fly,Spray Confidor super / Confidor 10ml/15 Lit of Water.
sucking pest aphids,Spray Actra 5 gm + Ridomil gold 30 gm/15 liter water
fungus chilli,SPRAY M 45 30 GM /15 LITER WATER(mancozeb)Dow Agro
thrips jassids,Spray Actra 5 gm  +MICROLLA 30 ML /15 Liter of Water
aphids sugarcane pyrilla mava,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
mili bug,Spray Nuwan 15 ml/15Lit of Water.
red leaf,SPRAY UREA - 200 GRAM + MgSO4 -- 100 GRAM IN  15 LIT OF WATER
mealy bug,SPRAY NUWAN 25 ML / 15 LITER OF WATER.
root rot,humic acid 30ml +19 19 19 60  + microlla 30ml /15lit of water.
aphid,SPRAY ASDMIRE 4 GM + BAVISTIN 30 GM/ 15 LITRE OF WATER
thriphs,Spray Admire 5 gm +ANTRACOL 30 GM /15 Liter of Water (Imida 70 wp)-Bayer
sucking pest fungal,Spray Actra 5 gm + M-45 30 gm/15 Lit of Water.
catterpiller sucking pest,fighter 15 mili + excite 15 mili /pamp spray  on crop.
thrips thrips jassids,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
aphids thrips,Spray Actra 5 gm + regent 10 ml + redomil gold 30 gm /15 Lit of Water.
fungus,Spray Bavistine 30gm/15lit of Water.
thrips white fly,Spray lansar gold 15 gm + nimboli ark 25 ml/15 Lit of Water.
jassids sucking pest,Spray Redomil Gold 30gm + actra 5 gm / 15 LITER OF WATER
jassids,Spray Confidor super + Bavistine 30 gram /15 Lit of Water.
leaf curl,Spray Actra 5 gm+ redomil gold 30 gm /15 Lit of Water
thrips oncotton,Spray Confidor super / Confidor 10ml/15 Lit of Water.
mealy bugs,Spray Nuvan 20ml/ 15Lit of Water(Diclorvos 76%)Cheminova
fungus wilt,Confidor 6ml/15 Lit of Water. +Spray Bavistine 30gm/15lit of Water.
reddning,SPRAY UREA 200 GRAM MgSO4 100 GRAM IN 15 LIT OF WATER
white flies,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
milybug,Spray Pegasus 25 gm/ 15 lit of water
wilt,Drenching Redomild gold 30 gm +  Humic acid 30 ml in 15 lit of water
mealybugs,Spray Nuwan 20 ml/ 15Lit of Water.
milli bug,SPRAY NUVAN 15 MILI IN 15 LIT OF WATER
