Season,Sector,Category,Crop,QueryType,Query,Answer,State,District,Block,DateTime
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack pest,????? – ??????? ??????? ???? ?????? ?? ???? ????? ????? ????? ??????? ?? ????? + ?????? ????? ?? ???? ????? ???????? ?? ????? ????? ??? ?????.,MAHARASHTRA,NASIK,SINNAR,2015-04-06 17:09:55.490
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,weather,Clear weather no chance of rain fall.,MAHARASHTRA,NASIK,YEOLA,2015-04-07 11:38:52.343
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about sms activation?,SMS scheme is activated on your mobile number,MAHARASHTRA,NASIK,SINNAR,2015-04-21 09:19:46.357
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,wilt,Spray Bavistine 30gm + 191 91 9 60 gm + microlla 30 ml /15 Lit of Water,MAHARASHTRA,NASIK,NASHIK,2015-04-24 12:10:28.187
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about weather forecasting?,Cloudy Weather not Possibility of light Rainfall,MAHARASHTRA,NASIK,DINDORI,2015-04-25 11:17:04.147
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,fruit borer?,Spray Quinolphos 30 ml/15 liter of water.,MAHARASHTRA,NASIK,IGATPURI,2016-04-08 13:52:23.473
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,leaf eating caterpillar?,Spray Coragen 5ml/15 Lit of Water.,MAHARASHTRA,DHULE,SAKRI,2015-04-17 14:51:37.697
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,variety of cotton ?,"Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-199",MAHARASHTRA,DHULE,SHINDKHEDE,2015-04-24 20:17:16.793
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,sucking pest?,Confidor super / Confidor 10ml/15 Lit of Water.,MAHARASHTRA,DHULE,DHULE,2015-04-28 11:24:05.523
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,varieties,"Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-199",MAHARASHTRA,DHULE,SHIRPUR,2015-04-30 13:08:05.587
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,govt. schemes-,"50-60 % Subsidies, Loan Please Visit Nearer Nationalised Bank.",MAHARASHTRA,JALGAON,BHADGAON,2015-04-10 14:12:26.683
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,farmer enquired about current weather condition in his region.,Informed him that weather is cloudy and there is possibility of rains.,MAHARASHTRA,JALGAON,CHOPDA,2015-04-15 10:35:48.610
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,cotton management ?,"???????? ??? ??????????????? ???????? ????? ????? ?? ??? ???????? ?? ?? ?????? ? ?? ?? ?????? ??????? ?? ??? ? ???? ??????, ???? ????? ???????? ????? ??????? ????? ??? ???????? ????? ?????. ???????? ?? ???? ???????? ??????? ???????? ???? ????? ??????? ?????? ?????, ?? ?????, ??? ? ???????? ???????????? ???????? ??????? ??? ????. ???????? ???????????? ???? ???? ??? ??????,",MAHARASHTRA,JALGAON,YAWAL,2015-04-22 19:34:19.193
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,which fertilizer used for,Spray microla 30 ml/15lit of water.,MAHARASHTRA,JALGAON,CHOPDA,2015-04-26 17:00:21.423
