Ouery_Cleaned,Answer
sms activation,Your Registration process successfully completed.
,Cloudy Weather NO possibility Rainfall.
herbicide wheat,"spray 2,4-d after 25 days of sowing."
wheat,Spray   0 52 34 60 gm +  microlla 30 m / 15 litar water .
wheat yellowing,Blue Copper 30 gm +humic acid 30 ml(Copper Oxichloride)-syngenta
fertiliser dose,By Drip 19:19:19 3 kg + microlla  300 ml + humic acid 300 ml
powdery mildew wheat,Spray Bavistane 30 gm/15 Liter of Water(Carbandazin)-Basf
sucking pest fungus wheat,for control of sucking pest and fungus on wheat Spray Tata mida10 ml + M 45 30 GM  +  12 : 61 : 00 - 60 gram + microlla - 30 ml  /15 liter water(Imida 17.8 sl)-Tata Rallis
aphids wheat,Spray - Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
blight wheat,for control of blight on wheat =spray ridomil gold 30 gram in 15 liter of water..........
sucking pest,Spray Rogar 15ml/15 Liter of Water(Dimethoate)-Cheminova
sucking pest wheat,Spray super confidor -10 ml /15 liter of water(Imida 17.8 sl)-Bayer
thrips wheat,Spray Rogar 15ml/15 Liter of Water(Dimethoate)-Cheminova
powdery mildew,SPRAY M 45 30 GM /15 LITER WATER(mancozeb)Dow Agro
yellowing wheat,to stop yellowing in wheat spray 19 19 19 60 gm+microlla 30 ml+ bavistin - 30 gram /15 liter water
tambera wheat,spray mancozeb - 40 gram / 15 litre water
rust wheat,For control of rust on wheat = spray copper oxy chloride (COC) 30 gram in 15 liter of water......
yellowing leaves wheat,spray redomil gold 30 gram +0.52.34 60 gram +microlla 30 mili /15 litre water
weed management,2-4-D 35 GRAM/PUMP
catterpillers attck wheat,Spray Profex super 30 ml/15 liter water
shoot borer wheat,SHOOT BORER ON WHEAT-Spray Quinalphos (20 % AF) 22 ml + REDOMILL GOLD 30 GRAM /15 liter of water
flower drop,spry microla 30 ml + 00:52:34 60 GM/15 LITER WATER.
wheat variety,"??????? ????-???? ???,?????-?????(??-??),?????? ????,???????"
aphid wheat,Spray Rogar 15ml/15 Liter of Water(Dimethoate)-Cheminova
herbicides wheat,2-4 D (Phenoxy-carboxylic acid )2.5 ml/1 liter of water
rats wheat,USE ZINK PHOSPHIDE FOR EFFECTIVE CONTROL OF RATS IN WHEAT
blight,Spray Bavistane 30 gm + microla 30 mili /15 Liter of Water(Carbandazin)-Basf
weed management wheat,"weed management in wheat - spray 2,4 d 500 gm / 200 liter of water"
yelowing wheat,YELOWING OF WHEAT = REDOMILL GOLD 30 GRAM + MICROLLA 40 MILLI / SPRAY IN 15 LITER OF WATER..
wilt wheat,WILT ATTACK ON WHEAT=PROFEX SUPER 40 MILLI + REDOMILL GOLD 30 GRAM / SPRAY IN 15 LITER OF WATER..
yellowing leaves,spray 19 :19 : 19: - 60 gram +microlla -30 ml + bavistin - 30 gram / 15 litre water
black rust,Spray Bavistin  30 gm + MICROLLA 30 ML/15 Liter of Water(Carbandazin)-Basf
fertizer dose wheat,apply 10.26.26-2 bag + micronutreants-25 kg+ urea-25 kg/acre
browning leaves,spray for 19:19:19 50gm + BAVISTIN 30 GM/ 15 liter of water.
fertiliser dose wheat,ASKING ABOUT FERTILISER DOSE FORAPPLICATION OF 10:26:26 2 BAG + UREA 20 KG + MICRO NUTRIENTS 10 KG/ACRE
yellow rust wheat,FOR CONTROL OF  YELLOW RUST ON WHEAT = SPRAY COPPER OXY CHLORIDE ( COC) 30 GRAM IN 15 LITER OF WATER.....
nutrient management wheat,foliar spray for wheat - 19;19;19 75gm + microla 30ml / 15 liter of water
redlining wheat,SPRAY M 45 30 GM /15 LITER WATER(mancozeb)Dow Agro
market rate wheat,Market Rate of wheat  1550-1900   rupees/qt
extra growth,00:52:34 75 gram/15 liter of water.
tonic growth,spray microlla  30 ml +  00:52:34 75 gram/15 liter of water.
fertiliser spray wheat,FERTILISER SPRAY FOR WHEAT=- 0;0;50=100 GRAM / SPRAY IN 15 LITER OF WATER..
report,Cloudy weather  and no  possibility of   rain
controlling store grain pest,USE CELLPHOSE TABLET  AT THE TIME OF STORAGE
fungal wheat,Spray 00-52-34 60 gm /15lit of water.
rat,use zink phosphate tablet for control of rat
fertilizer dose wheat,spray 00:00:50  60 gram/15 ltr water
fertilizer dose,application of 0:52:34 45 gm + micronutrient 30 ml / 15 litreof water
stop extra growth wheat,Spray Leocine 7 ml 0r 00:52:34 75 gram/15 liter of water.
better growth,SPRAY MICROLLA 30 ML + BAVISTIN 30 GM  + 19:19:19 30 GM  /15 LITER WATER
caterpillar wheat,Spray Proclaim 5 gm/15 liter of Water(Emamectin Benzoate)Syngenta
thrips jassids fungus paddy,Spray Actra 5 gm  + bavistin - 30 gram /15 Liter of Water(Thiomithoxom 25%)-Syngenta
wilt,Spray Redomil Gold 30 GM /15 LITER WATER(Metalaxl-M)-Syngenta
growth spray,SPRAY  00:52:34  – 60 GRAMS + MICROLA – 40 ML + BAVISTIN – 30 GRAMS IN 15 LITER OF WATER
weed,2-4 D (ethyl ester)2.5 ml/1 liter of water
rat wheat,use zink phosphet tab for control of rat
thrips leaf eating caterpillar maize,Spray Actra 5 gm/15 Lit of Water for thrips attack.MISAEL 15 ML IN15 LITER WATER for Leaf Eating Caterpillar on maize
wheat fertilizer doses,00.52.34-60 gram + microlla-30 ml /15 liter water spraying.
forcast,"Weather is Partly cloudy ,no possibility of rain"
fertilizer dose wheat flowering stage,00:00:50
fertiliser dose whesat,APPLICATION OF 10:26:26 2 BAG + UREA 20 KG + MICRO NUTRIENTS 10 KG/ACRE
thrips,Spray Confidor super / Confidor 6ml/15 Lit of Water.
fertilizer spray wheat,fertilizer spray for wheat - 19;19 19-200 gram / spray in 15 liter of water
duration wheat,duration of wheat crop-100-105 days
wheat growth,SPRAY 0.52.34 60 GRAM /15 LI WATER.
thips wheat,THIPS ATTACK ON WHEAT =-Spray Pegasus 25 gm + REDOMILL GOLD 30 GRAM / 15 liter of water(Diafenthiuron)Syngenta
tonic wheat,Spray microlla  30 ml +  00:52:34 75 gram/15 liter of water.
mava wheat,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
tmbera wheat,spray mencozeb - 30 gram + microlla - 30 ml / 15 litre water
sprayind done zibrelic acid wheat,AFTER FLOWERING
fungus,SPRAY M 45 30 GM /15 LITER WATER(mancozeb)Dow Agro
tonic increasing,spray  19:19:19 60 gm + microlla  30 ml / 15 liter of water.
growth wheat,asked about growth of wheat-spray urea 2%
tonic spray,SPRAY MICROLA 30 ML /15 LITER WATER
gowth wheat,SPRAY 13:40:13 - 60 GM/15 LITER WATER.
