Ouery_Cleaned,Answer
sms activation,SMS scheme is activated on your mobile number
forecasting,Cloudy Weather not Possibility of light Rainfall
fertilizer dose,use 25 kilo uea 150 kilo ssp + 25kilo potash
,"clear weather, no possibility of rain."
market,-4-2015 HYBRID GEVRAI  QUINTAL 661 3600 3800 3700 10-4-2015 ---- VADVANI QUINTAL 158 3800 3900 3850  LOCAL DEULGAON RAJA  QUINTAL 300 4300 4800 4500  LOCAL KATOL  QUINTAL 470 4000 4300 4200
askedabout market rate,5-4-2015HYBRIDGEVRAIQUINTAL47836003700367513-4-2015LOCALKATOLQUINTAL52410044254250HYBRIDGEVRAIQUINTAL1471360038003700MEDIUM STAPLEJAMNERQUINTAL837503850380
reddeing,SPRAY MGSO4 60 GM + UREA 100 GM + SSP 300 GM / 15 LIT OF WATER
market rate,0-4-2015----HINGOLIQUINTAL130410044214260LOCALKATOLQUINTAL280400043004150HYBRIDGEVRAIQUINTAL782360038003750MEDIUM STAPLEVARORAQUINTAL730390040803990
caterpillar,Spray Monoseal 40ml/ Pump.
tonic spray,spray josh tonic 40 mili/ 15 liter of water
sucking pest white fly,Spray Confidor super / Confidor 10ml/15 Lit of Water.
farmer flower drop,SPRAY PLANO FIX 5 ML + 00:52:34 60 GM/15 LITER WATER.
sucking pest,Spray Tata mida10 ml /15 liter water(Imida 17.8 sl)-Tata Rallis
red leaf,RED LEAF OF COTTON== MAGNESIUM SULFHATE 60 GM + UREA 50 GRAM / 15 ;IT WATER / SPRAY
attck aphids,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
mealy bugs,Spray Admire 5gm+ Sticker 10ml+ Nuwan 15ml+ Bavistine 30gm/ 15 liter water
red leaves,srpay bavistin 30 gm + magnesium sulphate 60 gram /15liter of water
blight,Spray Redomil Gold 30 gm NUVAN 30 MILLI /15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta
thrips,ATTACK OF THRIPS ON COTTON-Spray Roger 15 ml/15 Liter of Water(Dimethoate)-Cheminova
fertilizer doses,00.52.34-60 GRAM + MICROLLA-30 MILEE /15 LITER WATER.
damping,BLUE COPPER 40 GRAM + 19;191;19 -60 GM / 15 LIT. WATER.
fertiliser dose,APPLICATION OF 10:26:26 2 BAG + MICRO NUTRIENTS 10 KG/ACRE
sucking pest fungal,Spray Actra 5 gm+ redomil gold 30 gm /15 Lit of Water
white fly,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
flower drop,Spray Planofix 5ml/c
mealy bug,Spray Nuwan 20ml/15Lit of Water.
die back,bavistin  30ml + Humic Acid 30ml/15 Lit of Water Drenching.
redning,Spray super confidor 10 ml + Sicker 10ml/15 liter of water(Imida 17.8 sl)-Bayer or SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
red color leaves,SPRAY MAGNESSIUM SALPHATE 60 GM / 15 LITER OF WATER.
growth,spray 0:52:34 60+ microlla 30ml/ 15 lit of water
catterpilar atatck,Spray Chloropyriphos 30ml/15 Lit of Water.
white flies,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
spray weedy cide,irrigate field with water spray 1 % yuriya
sucking,Spray Ullala 8 gm/15 Lit of Water.
bymistake use herbicide,spray taba 30 mili /15 liter of water.
