SampleNo,Parameters,Fertilizer_Recommendations_ThroughSoil,Fertilizer_Recommendations_ThroughSpray
PB/2017-18/95639425/2,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
PB/2017-18/95639425/1,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
PB/2017-18/106910860/2,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
PB/2017-18/106910860/1,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
PB/2017-18/106978273/2,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
PB/2017-18/106978273/1,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
PB/2017-18/106979108/2,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
PB/2017-18/106979108/1,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
PB/2017-18/106982154/2,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
PB/2017-18/106982154/1,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
PB/2017-18/107006016/2,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
PB/2017-18/107006016/1,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
PB/2017-18/107006782/2,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
PB/2017-18/107006782/1,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
PB/2017-18/107007502/2,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
PB/2017-18/107007502/1,Iron (Fe),Ferrous sulphate (25-50 kg/ha) (Soil application is preferred),1%  Ferrous sulphate (Spray thrice)+ 0.5 % lime 
